Feature,Coefficient,Abs_Coefficient
Total_Experience Passing_Year_Of_PHD Performance_Score,3273.0463946889236,3273.0463946889236
No_Of_Companies_worked Designation_encoded University_PHD_encoded,3271.2712055498455,3271.2712055498455
Passing_Year_Of_PG No_Of_Companies_worked International_degree_any,-3258.8284845702547,3258.8284845702547
Has_PHD Department_encoded Designation_encoded,3254.653905894593,3254.653905894593
Has_PHD Department_encoded Role_encoded,3253.651770610206,3253.651770610206
Total_Experience_in_field_applied Has_PG University_Grad_encoded,3249.1186177305,3249.1186177305
Graduation_Specialization_encoded^2 PG_Specialization_encoded,3248.9377523420153,3248.9377523420153
Total_Experience International_degree_any Graduation_Specialization_encoded,3245.27209972265,3245.27209972265
Current_CTC Designation_encoded Curent_Location_encoded,-3242.2909687386536,3242.2909687386536
No_Of_Companies_worked Has_PHD University_Grad_encoded,3240.4518437870092,3240.4518437870092
Passing_Year_Of_Graduation Has_PHD University_PG_encoded,3235.764930491007,3235.764930491007
Total_Experience_in_field_applied Field_Specialization_Ratio Curent_Location_encoded,-3233.926907472373,3233.926907472373
Total_Experience_in_field_applied Current_CTC Preferred_location_encoded,-3232.544066626579,3232.544066626579
Total_Experience Graduation_Specialization_encoded PHD_Specialization_encoded,3231.6907078023496,3231.6907078023496
Inhand_Offer Performance_Score,3231.281044122604,3231.281044122604
Total_Experience International_degree_any Organization_encoded,3229.112236657016,3229.112236657016
No_Of_Companies_worked Field_Specialization_Ratio Graduation_Specialization_encoded,3227.394792857616,3227.394792857616
Total_Experience_in_field_applied Has_PHD University_Grad_encoded,3226.6005278434072,3226.6005278434072
Performance_Score PG_Specialization_encoded,3224.9617502214237,3224.9617502214237
Total_Experience No_Of_Companies_worked^2,-3224.7042450524123,3224.7042450524123
Current_CTC No_Of_Companies_worked Industry_encoded,3223.642416126137,3223.642416126137
Has_PG Role_encoded Industry_encoded,3219.88826306039,3219.88826306039
Current_CTC Department_encoded Curent_Location_encoded,-3218.5737039528244,3218.5737039528244
Current_CTC Designation_encoded PG_Specialization_encoded,-3217.29118746733,3217.29118746733
Has_PG University_Grad_encoded,-3217.2593469578414,3217.2593469578414
No_Of_Companies_worked Performance_Score PHD_Specialization_encoded,-3216.854727634901,3216.854727634901
Passing_Year_Of_Graduation Passing_Year_Of_PG No_Of_Companies_worked,-3214.1865019333854,3214.1865019333854
No_Of_Companies_worked Preferred_location_encoded,3213.7411342209107,3213.7411342209107
Total_Experience_in_field_applied^2 Curent_Location_encoded,3213.18487194115,3213.18487194115
Total_Experience Role_encoded University_PG_encoded,3208.4476806090483,3208.4476806090483
Current_CTC Organization_encoded Graduation_Specialization_encoded,-3202.3810609915427,3202.3810609915427
Number_of_Publications Has_PG,3200.942206684359,3200.942206684359
Passing_Year_Of_PHD Designation_encoded,-3197.8219705058473,3197.8219705058473
Department_encoded Role_encoded Education_Level_encoded,-3196.1190594783297,3196.1190594783297
Graduation_Specialization_encoded PG_Specialization_encoded Curent_Location_encoded,3180.8041935566857,3180.8041935566857
Total_Experience Passing_Year_Of_PG University_PG_encoded,-3180.7157939158133,3180.7157939158133
Total_Experience_in_field_applied Field_Specialization_Ratio Preferred_location_encoded,-3179.9697094361427,3179.9697094361427
Total_Experience Certifications,-3177.6372364316926,3177.6372364316926
Performance_Score^2 Organization_encoded,3167.4478291036235,3167.4478291036235
Total_Experience_in_field_applied Passing_Year_Of_Graduation Performance_Score,-3164.834400312817,3164.834400312817
Total_Experience_in_field_applied^2 Preferred_location_encoded,3161.227336194835,3161.227336194835
Inhand_Offer Performance_Score Designation_encoded,-3160.0588986157936,3160.0588986157936
Department_encoded University_PG_encoded Curent_Location_encoded,-3159.9191315862868,3159.9191315862868
Organization_encoded PHD_Specialization_encoded Education_Level_encoded,3158.5590247889654,3158.5590247889654
Total_Experience University_PG_encoded Education_Level_encoded,-3155.7175368040703,3155.7175368040703
Field_Specialization_Ratio University_Grad_encoded PG_Specialization_encoded,-3154.037400373345,3154.037400373345
Inhand_Offer Curent_Location_encoded Preferred_location_encoded,-3147.4163454054724,3147.4163454054724
Field_Specialization_Ratio^2 Role_encoded,3142.5342500341962,3142.5342500341962
Total_Experience Number_of_Publications Field_Specialization_Ratio,-3141.125528306342,3141.125528306342
Total_Experience_in_field_applied No_Of_Companies_worked Number_of_Publications,-3139.4497403927166,3139.4497403927166
Passing_Year_Of_Graduation Graduation_Specialization_encoded Education_Level_encoded,-3135.9645261852384,3135.9645261852384
Total_Experience Has_PHD^2,3135.247818419883,3135.247818419883
Passing_Year_Of_PHD No_Of_Companies_worked Role_encoded,-3131.297594204663,3131.297594204663
Total_Experience_in_field_applied Number_of_Publications Industry_encoded,3129.5235826524104,3129.5235826524104
Passing_Year_Of_Graduation Passing_Year_Of_PHD University_PG_encoded,3127.9665027930596,3127.9665027930596
Certifications Has_PG Performance_Score,-3126.039364885962,3126.039364885962
Total_Experience_in_field_applied Has_PG Preferred_location_encoded,3125.3297024378116,3125.3297024378116
Role_encoded Designation_encoded Curent_Location_encoded,-3120.9930191375065,3120.9930191375065
Passing_Year_Of_PG Number_of_Publications Has_PG,-3116.6212589358647,3116.6212589358647
Has_PHD Department_encoded PHD_Specialization_encoded,3115.975004841913,3115.975004841913
Passing_Year_Of_PHD Field_Specialization_Ratio Curent_Location_encoded,-3110.4898319358344,3110.4898319358344
Passing_Year_Of_Graduation Passing_Year_Of_PHD PG_Specialization_encoded,3105.960406257495,3105.960406257495
Total_Experience Has_PHD Industry_encoded,-3102.927182528987,3102.927182528987
Total_Experience_in_field_applied Passing_Year_Of_PHD Number_of_Publications,-3100.76189774993,3100.76189774993
Has_PG Role_encoded Organization_encoded,3099.6476431647084,3099.6476431647084
Current_CTC Designation_encoded Graduation_Specialization_encoded,-3091.146471452185,3091.146471452185
Passing_Year_Of_PG Current_CTC Field_Specialization_Ratio,3089.587575418924,3089.587575418924
Has_PHD Performance_Score Preferred_location_encoded,-3089.517947214468,3089.517947214468
Total_Experience University_Grad_encoded University_PG_encoded,3087.8752699344495,3087.8752699344495
Has_PG Organization_encoded Designation_encoded,3086.543711036005,3086.543711036005
Total_Experience PG_Specialization_encoded Education_Level_encoded,-3086.1523506851418,3086.1523506851418
Total_Experience_in_field_applied Number_of_Publications Education_Level_encoded,-3085.977435410841,3085.977435410841
Number_of_Publications Industry_encoded Graduation_Specialization_encoded,-3085.88861571227,3085.88861571227
No_Of_Companies_worked Has_PG Designation_encoded,3083.877277396453,3083.877277396453
Passing_Year_Of_Graduation Inhand_Offer Education_Level_encoded,-3077.230518497694,3077.230518497694
Current_CTC University_Grad_encoded Curent_Location_encoded,-3076.2098651708156,3076.2098651708156
Number_of_Publications Industry_encoded PHD_Specialization_encoded,-3075.4778609848395,3075.4778609848395
Number_of_Publications Has_PHD Organization_encoded,-3074.701992214033,3074.701992214033
Number_of_Publications International_degree_any University_PHD_encoded,3074.2745351189924,3074.2745351189924
Total_Experience_in_field_applied Graduation_Specialization_encoded Education_Level_encoded,3073.4009151616297,3073.4009151616297
Total_Experience_in_field_applied Has_PHD Graduation_Specialization_encoded,3068.031065716803,3068.031065716803
Graduation_Specialization_encoded PG_Specialization_encoded PHD_Specialization_encoded,3065.939866454953,3065.939866454953
Inhand_Offer Role_encoded University_PHD_encoded,3065.590832680708,3065.590832680708
Passing_Year_Of_Graduation^2 International_degree_any,-3063.216304603755,3063.216304603755
Passing_Year_Of_Graduation Number_of_Publications Education_Level_encoded,-3061.9458543076103,3061.9458543076103
Current_CTC Certifications Industry_encoded,3061.5166418474005,3061.5166418474005
Field_Specialization_Ratio Performance_Score Preferred_location_encoded,-3057.9853138627814,3057.9853138627814
Passing_Year_Of_Graduation University_Grad_encoded University_PG_encoded,-3056.6807548001043,3056.6807548001043
Passing_Year_Of_PG Number_of_Publications Performance_Score,-3053.67947759162,3053.67947759162
Industry_encoded Designation_encoded Education_Level_encoded,-3048.363138749609,3048.363138749609
Field_Specialization_Ratio University_PG_encoded Preferred_location_encoded,3046.518650256414,3046.518650256414
Total_Experience_in_field_applied Has_PHD PG_Specialization_encoded,3039.56662413999,3039.56662413999
Number_of_Publications Curent_Location_encoded^2,-3038.0635125133276,3038.0635125133276
Certifications PHD_Specialization_encoded University_PHD_encoded,3037.9194851411457,3037.9194851411457
Total_Experience Performance_Score Designation_encoded,-3037.0880478260005,3037.0880478260005
No_Of_Companies_worked PHD_Specialization_encoded University_PHD_encoded,3034.5892880630904,3034.5892880630904
PHD_Specialization_encoded^2 University_PHD_encoded,-3034.0851310524868,3034.0851310524868
University_PG_encoded,3032.521200561974,3032.521200561974
Current_CTC Certifications Curent_Location_encoded,-3028.8286768924086,3028.8286768924086
Total_Experience Organization_encoded PHD_Specialization_encoded,3028.4991759683817,3028.4991759683817
Passing_Year_Of_PHD Number_of_Publications^2,3026.474852265763,3026.474852265763
No_Of_Companies_worked Has_PG Preferred_location_encoded,3021.2370433004753,3021.2370433004753
Number_of_Publications Has_PHD Department_encoded,-3020.8428303065793,3020.8428303065793
Passing_Year_Of_PG Has_PHD University_PHD_encoded,3018.2279846956603,3018.2279846956603
Total_Experience Passing_Year_Of_PG PHD_Specialization_encoded,-3017.1926015871422,3017.1926015871422
Graduation_Specialization_encoded Curent_Location_encoded^2,3014.4846577842245,3014.4846577842245
Number_of_Publications Certifications Industry_encoded,-3013.379986692669,3013.379986692669
Department_encoded Organization_encoded University_PHD_encoded,-3013.226818822665,3013.226818822665
Designation_encoded Graduation_Specialization_encoded Education_Level_encoded,-3009.6917289534113,3009.6917289534113
Total_Experience_in_field_applied Curent_Location_encoded Preferred_location_encoded,3009.04500907461,3009.04500907461
Field_Specialization_Ratio Organization_encoded,-3006.4560653653457,3006.4560653653457
Total_Experience_in_field_applied Passing_Year_Of_Graduation Department_encoded,-3002.1069592832077,3002.1069592832077
University_PHD_encoded Preferred_location_encoded Education_Level_encoded,3000.8865897467776,3000.8865897467776
Total_Experience_in_field_applied Number_of_Publications Organization_encoded,3000.7980956420283,3000.7980956420283
Field_Specialization_Ratio Preferred_location_encoded Education_Level_encoded,3000.2398097676923,3000.2398097676923
Total_Experience_in_field_applied Inhand_Offer Role_encoded,-2999.5115307115116,2999.5115307115116
Department_encoded Role_encoded Graduation_Specialization_encoded,-2999.1251525434122,2999.1251525434122
Inhand_Offer Field_Specialization_Ratio Has_PHD,2998.350543432876,2998.350543432876
Has_PG Industry_encoded University_Grad_encoded,2998.0623972732224,2998.0623972732224
International_degree_any PHD_Specialization_encoded Curent_Location_encoded,-2997.1415200095785,2997.1415200095785
Total_Experience_in_field_applied PHD_Specialization_encoded Education_Level_encoded,2995.390221500572,2995.390221500572
Passing_Year_Of_Graduation University_Grad_encoded PHD_Specialization_encoded,-2993.9768119079627,2993.9768119079627
Total_Experience Passing_Year_Of_PHD University_PHD_encoded,2993.8896250177368,2993.8896250177368
Current_CTC University_Grad_encoded Preferred_location_encoded,-2993.0053469979252,2993.0053469979252
University_PHD_encoded,2992.9530659933343,2992.9530659933343
Total_Experience_in_field_applied Inhand_Offer Has_PG,-2989.086694166701,2989.086694166701
University_Grad_encoded,2987.559287208834,2987.559287208834
Designation_encoded Graduation_Specialization_encoded Preferred_location_encoded,2986.899156662177,2986.899156662177
Total_Experience Has_PG Department_encoded,2984.5073598715726,2984.5073598715726
Number_of_Publications Field_Specialization_Ratio PHD_Specialization_encoded,-2984.292201810384,2984.292201810384
Total_Experience_in_field_applied Passing_Year_Of_PG Inhand_Offer,-2984.2737637098426,2984.2737637098426
Passing_Year_Of_Graduation International_degree_any Performance_Score,2980.7310178734538,2980.7310178734538
Passing_Year_Of_PG Organization_encoded,-2980.1067475456853,2980.1067475456853
Total_Experience_in_field_applied Graduation_Specialization_encoded University_PHD_encoded,2975.225430362427,2975.225430362427
University_Grad_encoded^2,-2974.786400084811,2974.786400084811
Certifications Preferred_location_encoded Education_Level_encoded,-2973.714272173789,2973.714272173789
Total_Experience_in_field_applied^2 Has_PHD,-2972.642442529066,2972.642442529066
Role_encoded Designation_encoded University_PHD_encoded,-2970.9601093086517,2970.9601093086517
Organization_encoded Graduation_Specialization_encoded PHD_Specialization_encoded,2964.0625401213074,2964.0625401213074
No_Of_Companies_worked Industry_encoded Organization_encoded,-2958.151816811835,2958.151816811835
Role_encoded^2 Graduation_Specialization_encoded,-2957.72568745717,2957.72568745717
Passing_Year_Of_PHD Certifications Graduation_Specialization_encoded,2956.178798714087,2956.178798714087
No_Of_Companies_worked University_PHD_encoded Preferred_location_encoded,2955.064715879022,2955.064715879022
Inhand_Offer Number_of_Publications Field_Specialization_Ratio,2954.666274631283,2954.666274631283
University_Grad_encoded University_PG_encoded,-2952.2878242957427,2952.2878242957427
Total_Experience_in_field_applied International_degree_any Designation_encoded,2950.2328615472034,2950.2328615472034
Role_encoded PHD_Specialization_encoded,2949.4711522516222,2949.4711522516222
Passing_Year_Of_Graduation Inhand_Offer University_PHD_encoded,-2948.0153594205876,2948.0153594205876
Industry_encoded University_PHD_encoded^2,-2947.4562775813524,2947.4562775813524
Total_Experience_in_field_applied Inhand_Offer PHD_Specialization_encoded,2946.4112613560214,2946.4112613560214
Passing_Year_Of_Graduation Graduation_Specialization_encoded PHD_Specialization_encoded,-2945.9570163410785,2945.9570163410785
No_Of_Companies_worked Designation_encoded Education_Level_encoded,2940.4968830223156,2940.4968830223156
Total_Experience_in_field_applied Has_PHD^2,2940.2148244511604,2940.2148244511604
No_Of_Companies_worked University_PG_encoded University_PHD_encoded,2940.1182922940325,2940.1182922940325
Curent_Location_encoded Education_Level_encoded^2,2939.9324598632193,2939.9324598632193
Field_Specialization_Ratio University_PHD_encoded Preferred_location_encoded,2938.8190441979823,2938.8190441979823
Industry_encoded University_PG_encoded^2,-2937.7278125337493,2937.7278125337493
Passing_Year_Of_PHD No_Of_Companies_worked PG_Specialization_encoded,-2937.5401075886757,2937.5401075886757
Current_CTC Certifications Organization_encoded,2935.755230760648,2935.755230760648
Total_Experience_in_field_applied Passing_Year_Of_PHD Inhand_Offer,-2935.6874599174052,2935.6874599174052
Field_Specialization_Ratio^2 University_Grad_encoded,-2935.541614538612,2935.541614538612
Inhand_Offer PHD_Specialization_encoded Education_Level_encoded,-2934.811820382214,2934.811820382214
Total_Experience Passing_Year_Of_PHD Curent_Location_encoded,2934.5125674906294,2934.5125674906294
Passing_Year_Of_PG Organization_encoded University_PHD_encoded,2930.019610957426,2930.019610957426
Number_of_Publications Organization_encoded Curent_Location_encoded,2929.709559799149,2929.709559799149
Number_of_Publications Role_encoded^2,2928.455173690403,2928.455173690403
Total_Experience International_degree_any Role_encoded,-2921.7562942738978,2921.7562942738978
Has_PG Industry_encoded Designation_encoded,2919.7193819537933,2919.7193819537933
Passing_Year_Of_PG International_degree_any,2919.4398239615566,2919.4398239615566
Inhand_Offer^2 Number_of_Publications,-2917.9356584934103,2917.9356584934103
Current_CTC Designation_encoded Education_Level_encoded,2916.355010358367,2916.355010358367
Field_Specialization_Ratio^2 Department_encoded,2916.278013082949,2916.278013082949
Performance_Score Organization_encoded PHD_Specialization_encoded,-2913.6918746451006,2913.6918746451006
Field_Specialization_Ratio Designation_encoded Education_Level_encoded,2913.5916749052226,2913.5916749052226
Organization_encoded^2 University_PG_encoded,-2912.5181409497263,2912.5181409497263
Organization_encoded University_PG_encoded University_PHD_encoded,-2912.233456470686,2912.233456470686
Number_of_Publications PG_Specialization_encoded University_PHD_encoded,2912.0888940752225,2912.0888940752225
Passing_Year_Of_Graduation Passing_Year_Of_PHD Number_of_Publications,-2911.6571899374044,2911.6571899374044
Passing_Year_Of_PHD Current_CTC Organization_encoded,2908.732839127203,2908.732839127203
Role_encoded Preferred_location_encoded,-2906.0687474234073,2906.0687474234073
Role_encoded Graduation_Specialization_encoded University_Grad_encoded,-2906.0178570828893,2906.0178570828893
Passing_Year_Of_PG PG_Specialization_encoded^2,-2905.2480409176496,2905.2480409176496
Passing_Year_Of_PG Field_Specialization_Ratio Curent_Location_encoded,-2901.8221276910936,2901.8221276910936
Current_CTC Has_PHD Graduation_Specialization_encoded,2898.1269108939487,2898.1269108939487
Passing_Year_Of_PG Department_encoded PHD_Specialization_encoded,-2896.5461664139293,2896.5461664139293
Current_CTC Role_encoded PHD_Specialization_encoded,-2889.874889349143,2889.874889349143
Passing_Year_Of_Graduation University_PHD_encoded^2,2888.702887522736,2888.702887522736
Certifications Industry_encoded^2,-2888.0440742997475,2888.0440742997475
Field_Specialization_Ratio Department_encoded University_PHD_encoded,2887.3249030063143,2887.3249030063143
Number_of_Publications International_degree_any PG_Specialization_encoded,-2884.9045105307223,2884.9045105307223
Number_of_Publications^2 Designation_encoded,2883.108980959687,2883.108980959687
Total_Experience_in_field_applied Has_PHD Role_encoded,2881.4984094338647,2881.4984094338647
International_degree_any University_PHD_encoded Curent_Location_encoded,-2880.798874999716,2880.798874999716
Total_Experience_in_field_applied Current_CTC Has_PHD,-2880.642106351301,2880.642106351301
Department_encoded University_PG_encoded,2877.1579386304716,2877.1579386304716
Has_PG Department_encoded Curent_Location_encoded,2876.2717563472415,2876.2717563472415
Passing_Year_Of_Graduation^2 University_Grad_encoded,2871.1624498375286,2871.1624498375286
Graduation_Specialization_encoded PHD_Specialization_encoded^2,2867.7815196256265,2867.7815196256265
Role_encoded University_PHD_encoded,2867.061298945431,2867.061298945431
Organization_encoded^2 PHD_Specialization_encoded,-2866.886672261551,2866.886672261551
Passing_Year_Of_PHD Number_of_Publications University_PG_encoded,2860.885387295557,2860.885387295557
Field_Specialization_Ratio^2 Has_PG,2857.2762745457235,2857.2762745457235
PG_Specialization_encoded^2 Education_Level_encoded,2855.02713256024,2855.02713256024
Field_Specialization_Ratio Organization_encoded^2,-2854.6963633798064,2854.6963633798064
Current_CTC Designation_encoded PHD_Specialization_encoded,-2849.4990996274964,2849.4990996274964
Performance_Score Organization_encoded,-2847.9203057936256,2847.9203057936256
Number_of_Publications Field_Specialization_Ratio^2,2846.320465235973,2846.320465235973
Passing_Year_Of_PG University_PHD_encoded Education_Level_encoded,2846.2255393244745,2846.2255393244745
Passing_Year_Of_PHD Inhand_Offer^2,2840.471241772463,2840.471241772463
Passing_Year_Of_Graduation Designation_encoded Education_Level_encoded,-2838.5133544818405,2838.5133544818405
Field_Specialization_Ratio^2 Has_PHD,2838.412870645548,2838.412870645548
Field_Specialization_Ratio Department_encoded University_Grad_encoded,2835.157426889557,2835.157426889557
Total_Experience Total_Experience_in_field_applied University_PG_encoded,-2832.770381273669,2832.770381273669
Number_of_Publications^2 Industry_encoded,2831.3850943065054,2831.3850943065054
Current_CTC University_PG_encoded PHD_Specialization_encoded,2831.3023989564153,2831.3023989564153
Number_of_Publications Field_Specialization_Ratio Graduation_Specialization_encoded,2830.8988623406663,2830.8988623406663
Passing_Year_Of_Graduation Has_PG Department_encoded,2823.199413922292,2823.199413922292
Passing_Year_Of_Graduation Number_of_Publications Performance_Score,2822.9462458434587,2822.9462458434587
Passing_Year_Of_PG Field_Specialization_Ratio^2,-2821.960051754581,2821.960051754581
Total_Experience Organization_encoded University_PG_encoded,2820.2063051316363,2820.2063051316363
Passing_Year_Of_PG Field_Specialization_Ratio PG_Specialization_encoded,-2819.0407057342636,2819.0407057342636
Field_Specialization_Ratio Role_encoded Curent_Location_encoded,2818.256899828005,2818.256899828005
Passing_Year_Of_Graduation Field_Specialization_Ratio Has_PG,2815.415839437257,2815.415839437257
Number_of_Publications Department_encoded Curent_Location_encoded,2815.274468786585,2815.274468786585
Current_CTC Inhand_Offer Graduation_Specialization_encoded,-2813.5102923296017,2813.5102923296017
Passing_Year_Of_PG Has_PG^2,2810.189980995604,2810.189980995604
Has_PG PG_Specialization_encoded^2,-2805.797170770448,2805.797170770448
Inhand_Offer^2 Graduation_Specialization_encoded,2805.0425256600015,2805.0425256600015
Total_Experience Graduation_Specialization_encoded University_PHD_encoded,2800.8705618155204,2800.8705618155204
Current_CTC Has_PHD Preferred_location_encoded,2800.341487942098,2800.341487942098
Current_CTC Certifications Designation_encoded,2797.4113992540883,2797.4113992540883
Passing_Year_Of_Graduation No_Of_Companies_worked Department_encoded,-2796.302690755593,2796.302690755593
Has_PHD Role_encoded Industry_encoded,2791.26495385508,2791.26495385508
Total_Experience_in_field_applied International_degree_any Preferred_location_encoded,-2790.3587600749006,2790.3587600749006
Total_Experience Preferred_location_encoded^2,-2786.7694140384006,2786.7694140384006
Total_Experience Preferred_location_encoded Education_Level_encoded,-2780.7869328230017,2780.7869328230017
Department_encoded PG_Specialization_encoded Preferred_location_encoded,-2777.6474224476497,2777.6474224476497
No_Of_Companies_worked Field_Specialization_Ratio,-2776.7934088452002,2776.7934088452002
Total_Experience University_PHD_encoded^2,-2773.3314227180017,2773.3314227180017
Certifications University_Grad_encoded Education_Level_encoded,-2772.936613906556,2772.936613906556
Passing_Year_Of_PG Current_CTC Number_of_Publications,2772.8521703312776,2772.8521703312776
Current_CTC Inhand_Offer Designation_encoded,2770.800300145683,2770.800300145683
Passing_Year_Of_Graduation Field_Specialization_Ratio Department_encoded,2766.21911372516,2766.21911372516
Passing_Year_Of_PG Passing_Year_Of_PHD Has_PHD,2763.348183913328,2763.348183913328
International_degree_any Designation_encoded PG_Specialization_encoded,-2763.256800071867,2763.256800071867
Total_Experience Has_PHD Curent_Location_encoded,-2761.7737193523653,2761.7737193523653
Passing_Year_Of_PHD Number_of_Publications University_Grad_encoded,2761.7385992421596,2761.7385992421596
Total_Experience Number_of_Publications Has_PHD,2761.5040473997656,2761.5040473997656
Total_Experience PHD_Specialization_encoded University_PHD_encoded,-2756.9744508675344,2756.9744508675344
No_Of_Companies_worked Performance_Score Education_Level_encoded,2752.6388822345602,2752.6388822345602
No_Of_Companies_worked University_PHD_encoded^2,2752.2923297029356,2752.2923297029356
Industry_encoded^2 Curent_Location_encoded,-2752.0609971155955,2752.0609971155955
Total_Experience_in_field_applied Has_PHD University_PG_encoded,2749.5203815775712,2749.5203815775712
Total_Experience_in_field_applied Has_PG University_PHD_encoded,2745.3966060826665,2745.3966060826665
Inhand_Offer No_Of_Companies_worked Organization_encoded,2743.993324170811,2743.993324170811
Industry_encoded University_PG_encoded University_PHD_encoded,-2743.952761843531,2743.952761843531
Field_Specialization_Ratio Performance_Score Role_encoded,-2743.4449726993626,2743.4449726993626
Total_Experience Certifications Has_PHD,-2743.0009180996553,2743.0009180996553
Department_encoded University_PG_encoded Education_Level_encoded,2742.136084724229,2742.136084724229
No_Of_Companies_worked Number_of_Publications University_PHD_encoded,-2741.4860764818072,2741.4860764818072
Designation_encoded PG_Specialization_encoded PHD_Specialization_encoded,-2741.444553935343,2741.444553935343
Passing_Year_Of_PG Industry_encoded,-2738.9847790567715,2738.9847790567715
Field_Specialization_Ratio Curent_Location_encoded^2,2735.903621848908,2735.903621848908
Current_CTC Role_encoded University_PG_encoded,-2732.9940525312527,2732.9940525312527
International_degree_any Graduation_Specialization_encoded University_PG_encoded,-2732.412804918639,2732.412804918639
Total_Experience Number_of_Publications,2731.7482472484394,2731.7482472484394
Designation_encoded Preferred_location_encoded Education_Level_encoded,2730.6666700706564,2730.6666700706564
Number_of_Publications Department_encoded Education_Level_encoded,-2723.585476949219,2723.585476949219
Inhand_Offer Department_encoded,-2722.017487486058,2722.017487486058
Number_of_Publications University_Grad_encoded University_PG_encoded,2721.3028898833713,2721.3028898833713
Passing_Year_Of_PG Inhand_Offer Certifications,-2720.6837965521268,2720.6837965521268
Field_Specialization_Ratio Graduation_Specialization_encoded Education_Level_encoded,2720.0313253834724,2720.0313253834724
Total_Experience Graduation_Specialization_encoded PG_Specialization_encoded,2719.753561658014,2719.753561658014
Inhand_Offer University_PG_encoded University_PHD_encoded,2719.5887886941946,2719.5887886941946
University_Grad_encoded^2 Education_Level_encoded,2716.4725530688966,2716.4725530688966
Passing_Year_Of_PG Certifications Designation_encoded,2715.8833878443793,2715.8833878443793
Inhand_Offer^2 Certifications,-2714.9749394941323,2714.9749394941323
Passing_Year_Of_PHD Education_Level_encoded,-2714.1371358033384,2714.1371358033384
Total_Experience_in_field_applied International_degree_any Curent_Location_encoded,-2713.4095500230133,2713.4095500230133
Passing_Year_Of_PG^2 Certifications,2712.9085475577076,2712.9085475577076
Total_Experience_in_field_applied Department_encoded Role_encoded,2712.811717477351,2712.811717477351
Current_CTC Organization_encoded University_PG_encoded,-2711.813088207641,2711.813088207641
Number_of_Publications PHD_Specialization_encoded Preferred_location_encoded,2709.56797895958,2709.56797895958
Passing_Year_Of_PHD Certifications University_Grad_encoded,2706.3439768253875,2706.3439768253875
Role_encoded Organization_encoded University_PHD_encoded,-2705.967478888968,2705.967478888968
Performance_Score Graduation_Specialization_encoded^2,-2704.357451459426,2704.357451459426
Inhand_Offer^2 PG_Specialization_encoded,2703.2377041398427,2703.2377041398427
Passing_Year_Of_Graduation Industry_encoded Curent_Location_encoded,2703.1468266071847,2703.1468266071847
Passing_Year_Of_PHD No_Of_Companies_worked Designation_encoded,-2703.143417705105,2703.143417705105
Industry_encoded PG_Specialization_encoded,2702.024109813176,2702.024109813176
Certifications University_PG_encoded,-2698.059149253418,2698.059149253418
Passing_Year_Of_PG^2 Graduation_Specialization_encoded,2697.836402971383,2697.836402971383
Inhand_Offer Department_encoded Preferred_location_encoded,2696.4439491800363,2696.4439491800363
Role_encoded PG_Specialization_encoded^2,2696.111187445282,2696.111187445282
University_Grad_encoded^2 PG_Specialization_encoded,2695.5964911547753,2695.5964911547753
Current_CTC PG_Specialization_encoded^2,-2695.400217741508,2695.400217741508
Passing_Year_Of_PG Field_Specialization_Ratio Preferred_location_encoded,-2689.2541514162685,2689.2541514162685
Current_CTC Performance_Score Organization_encoded,2687.2367085005794,2687.2367085005794
Number_of_Publications University_Grad_encoded^2,2686.01935941936,2686.01935941936
International_degree_any Performance_Score Education_Level_encoded,-2683.0338827582773,2683.0338827582773
Inhand_Offer University_Grad_encoded^2,2680.522470661774,2680.522470661774
International_degree_any University_Grad_encoded^2,-2679.995751019613,2679.995751019613
Field_Specialization_Ratio Performance_Score^2,2679.920478353128,2679.920478353128
Current_CTC Performance_Score Industry_encoded,2679.5128646130543,2679.5128646130543
Role_encoded Industry_encoded University_PG_encoded,-2675.9264976858026,2675.9264976858026
Industry_encoded PG_Specialization_encoded PHD_Specialization_encoded,-2669.6312487465557,2669.6312487465557
Number_of_Publications Performance_Score Industry_encoded,-2669.1811550795614,2669.1811550795614
Performance_Score Designation_encoded,-2665.6131391169292,2665.6131391169292
Total_Experience_in_field_applied Industry_encoded^2,-2658.922471045121,2658.922471045121
Passing_Year_Of_Graduation Has_PHD Graduation_Specialization_encoded,2656.5400405918062,2656.5400405918062
Passing_Year_Of_PG^2 University_PG_encoded,2655.8522486047177,2655.8522486047177
Number_of_Publications University_PHD_encoded^2,-2654.8439549000623,2654.8439549000623
Department_encoded Designation_encoded University_PG_encoded,-2654.722130539346,2654.722130539346
Total_Experience_in_field_applied Passing_Year_Of_Graduation PHD_Specialization_encoded,-2654.376493691789,2654.376493691789
Total_Experience_in_field_applied^2 Inhand_Offer,2653.9310019027075,2653.9310019027075
Total_Experience_in_field_applied Current_CTC PG_Specialization_encoded,2651.3383577800973,2651.3383577800973
Total_Experience_in_field_applied Organization_encoded University_PHD_encoded,-2650.2300057878438,2650.2300057878438
International_degree_any University_Grad_encoded PHD_Specialization_encoded,2649.038073566469,2649.038073566469
Has_PHD^2 PHD_Specialization_encoded,2646.736325791164,2646.736325791164
Passing_Year_Of_Graduation Number_of_Publications Certifications,2639.6535237707994,2639.6535237707994
Total_Experience_in_field_applied Performance_Score Role_encoded,2639.411684123515,2639.411684123515
University_Grad_encoded University_PHD_encoded Education_Level_encoded,2639.3236700218863,2639.3236700218863
Total_Experience Current_CTC Industry_encoded,-2639.121641875618,2639.121641875618
