Feature,Importance
Current_CTC,0.3866103222076309
Total_Experience,0.20392183949063755
Passing_Year_Of_Graduation,0.1047680808496087
Passing_Year_Of_PHD,0.06457932147722656
Passing_Year_Of_PG,0.05228035208160201
Total_Experience_in_field_applied,0.04131074093764765
Education_Level_encoded,0.029233365146376977
No_Of_Companies_worked,0.019126938718020892
Field_Specialization_Ratio,0.014649462663882413
University_Grad_encoded,0.010279111070929282
Performance_Score,0.009471974068071848
Department_encoded,0.007605024574867722
Graduation_Specialization_encoded,0.00683829161967207
Role_encoded,0.006810235673645257
Number_of_Publications,0.005303207749262892
Industry_encoded,0.005103491559982167
Organization_encoded,0.004481692624082499
University_PG_encoded,0.004403036588967221
University_PHD_encoded,0.004266753344503435
PG_Specialization_encoded,0.0034868496847420844
Certifications,0.0030508052793606242
PHD_Specialization_encoded,0.002701384038127573
Designation_encoded,0.002684608216546984
Curent_Location_encoded,0.0025929641196550998
Preferred_location_encoded,0.002510233287885935
Inhand_Offer,0.0015540298813048632
International_degree_any,0.00037588304575869683
Has_PHD,0.0
Has_PG,0.0
